Car models,Brand,Image,Price($dollars),Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Company,Selling point,Wikipedia-entry,
1,Mercedes-Benz,1.jpg,7900,van,427,2.9,Diesel,yes,1999,Sprinter 212,German,Comfort&Eco-friendly,https://en.wikipedia.org/wiki/Mercedes-Benz,
2,Tesla,2.jpg,35400,sedan,220,2,Electric,yes,2017,Model 3,American,electric cars,https://en.wikipedia.org/wiki/Tesla_Model_3,
3,BMW,3.jpg,4200,sedan,277,2,Petrol,yes,1991,320,German,Reliable,https://en.wikipedia.org/wiki/BMW_320_TC,
4,Rolls Royce,4.jpg,27900,sedan,300,3,Petrol,yes,1981,Silver spirit,British,elite travelling,https://en.wikipedia.org/wiki/Rolls-Royce_Silver_Spirit,
5,Bentley,5.jpg,17700,suv,226,5.5,Petrol,yes,2021,Bentley Bentayga,British,high-end speed,https://en.wikipedia.org/wiki/Bentley_Bentayga,
6,Bugatti,6.jpg,390000,sports,500,6,Petrol,yes,2019,Chiron Sport 300+,French,innovative sports car,https://en.wikipedia.org/wiki/Bugatti_Chiron,
7,Porsche,7.jpg,60900,sports,385,4,Petrol,yes,2019,911 Carrera 4 Cabriolet,Germany,luxurious car,https://en.wikipedia.org/wiki/Porsche_911,
8,Lexus,8.jpg,96345,crossover,409,4.7,Gasoline,yes,2022,Lexus LX600,Germany,race car,https://en.wikipedia.org/wiki/Lexus_LX,
9,Land Rover,9.jpg,111765,suv,158,4,Diesel,yes,2017,Range Rover Velar,Britain,adventrous journey,https://en.wikipedia.org/wiki/Range_Rover_Velar,
10,Toyata,10.jpg,28500,crossover,97,3.5,Petrol,yes,2012,Highlander,Japanese,fuel efficient,https://en.wikipedia.org/wiki/Toyota_Highlander,
11,Audi,11.jpg,9800,vagon,257,2.5,Diesel,yes,2003,A6,Germany,engine performance,https://en.wikipedia.org/wiki/Audi_A6,
12,Jaguar,12.jpg,29500,compact suv,326,3,Petrol,yes,2014,Jaguar XE,British,high resale value,https://en.wikipedia.org/wiki/Jaguar_XE,
13,Volvo,13.jpg,89000,suv,250,,Petrol,yes,2019,Volvo XC Classic,Swedish,utmost safety,https://en.wikipedia.org/wiki/Volvo_XC90,
14,Volkswagen,14.jpg,10700,sedan,195,3.2,Petrol,yes,2007,Passat B6,Germany,good quality,https://en.wikipedia.org/wiki/Volkswagen_Passat_(B6),
15,Jeep,15.jpg,25000,suv,409,4.2,Gasoline,yes,2017,Jeep Wrangler,American,exclusive exterior design,https://en.wikipedia.org/wiki/Jeep_Wrangler,
16,Fiat,16.jpg,24590,crossover,350,3.6,Diesel,yes,2016,Fiat 500,Italian,exclusive small car,https://en.wikipedia.org/wiki/Fiat_500,
17,Ford,17.jpg,29215,suv,250,4,Gasoline,yes,2023,Bronco Sport suv,American,coustomer support,https://en.wikipedia.org/wiki/Ford_Bronco_Sport,
18,Nissan,18.jpg,25342.2,other,350,2.5,Diesel,yes,2016,L 200,Japenese,fuel efficient,https://en.wikipedia.org/wiki/Nissan_200SX,
19,Honda,19.jpg,26270,suv,300,4.5,Diesel,yes,2020,Honda CR-V facelift,Japanese,Reliable,https://en.wikipedia.org/wiki/Honda_CR-V_(fifth_generation),
20,Chevrolet,20.jpg,16470,sedan,250,4.4,Gasoline,yes,2010,Chevrolet Cobalt,American,compact car,https://en.wikipedia.org/wiki/Chevrolet_Corvette,
